event_id,emp_id,period_start,period_end,hours_regular,hours_overtime,gross_pay,deductions,net_pay,jurisdiction,is_anomaly,anomaly_type
PE-EMP-00001-01,EMP-00001,2025-01-01,2025-01-30,156.1,0.0,8228.0,1621.97,6606.03,FL,False,none
PE-EMP-00001-02,EMP-00001,2025-01-31,2025-03-01,148.7,0.0,8228.0,2215.18,6012.82,FL,False,none
PE-EMP-00001-03,EMP-00001,2025-03-02,2025-03-31,155.1,0.0,8228.0,1522.78,6705.22,FL,False,none
PE-EMP-00001-04,EMP-00001,2025-04-01,2025-04-30,140.8,0.0,8228.0,2224.27,6003.73,FL,False,none
PE-EMP-00001-05,EMP-00001,2025-05-01,2025-05-30,141.4,0.0,8228.0,1796.67,6431.33,FL,False,none
PE-EMP-00001-06,EMP-00001,2025-05-31,2025-06-29,142.4,0.0,8228.0,1803.51,6424.49,FL,False,none
PE-EMP-00002-01,EMP-00002,2025-01-01,2025-01-30,159.7,0.0,8030.0,2161.09,5868.91,CA,False,none
PE-EMP-00002-02,EMP-00002,2025-01-31,2025-03-01,157.6,0.0,8030.0,1999.57,6030.43,CA,False,none
PE-EMP-00002-03,EMP-00002,2025-03-02,2025-03-31,152.5,0.0,8030.0,1730.97,6299.03,CA,False,none
PE-EMP-00002-04,EMP-00002,2025-04-01,2025-04-30,149.3,0.0,8030.0,1604.51,6425.49,CA,False,none
PE-EMP-00002-05,EMP-00002,2025-05-01,2025-05-30,161.2,0.0,8030.0,2095.27,5934.73,CA,False,none
PE-EMP-00002-06,EMP-00002,2025-05-31,2025-06-29,142.2,0.0,8030.0,2186.4,5843.6,CA,False,none
PE-EMP-00003-01,EMP-00003,2025-01-01,2025-01-30,161.4,8.5,7270.6,1376.26,5894.34,FL,False,none
PE-EMP-00003-02,EMP-00003,2025-01-31,2025-03-01,162.5,10.5,7394.45,1402.92,5991.53,FL,False,none
PE-EMP-00003-03,EMP-00003,2025-03-02,2025-03-31,148.7,9.7,7343.15,1884.61,5458.54,FL,False,none
PE-EMP-00003-04,EMP-00003,2025-04-01,2025-04-30,153.2,14.2,7630.07,1483.07,6147.0,FL,False,none
PE-EMP-00003-05,EMP-00003,2025-05-01,2025-05-30,165.1,3.9,6977.33,1509.51,5467.82,FL,False,none
PE-EMP-00003-06,EMP-00003,2025-05-31,2025-06-29,145.1,13.8,7601.49,1619.37,5982.12,FL,False,none
