event_id,emp_id,period_start,period_end,hours_regular,hours_overtime,gross_pay,deductions,net_pay,jurisdiction,is_anomaly,anomaly_type
PE-EMP-00001-01,EMP-00001,2025-01-01,2025-01-30,144.8,0.0,8228.0,1953.4,6274.6,FL,False,none
PE-EMP-00001-02,EMP-00001,2025-01-31,2025-03-01,165.0,0.0,8228.0,1737.24,6490.76,FL,False,none
PE-EMP-00001-03,EMP-00001,2025-03-02,2025-03-31,141.4,0.0,8228.0,1925.83,6302.17,FL,False,none
PE-EMP-00001-04,EMP-00001,2025-04-01,2025-04-30,165.3,0.0,8228.0,1504.9,6723.1,FL,False,none
PE-EMP-00001-05,EMP-00001,2025-05-01,2025-05-30,150.7,0.0,8228.0,1522.56,6705.44,FL,False,none
PE-EMP-00001-06,EMP-00001,2025-05-31,2025-06-29,151.0,0.0,8228.0,1551.9,6676.1,FL,False,none
PE-EMP-00002-01,EMP-00002,2025-01-01,2025-01-30,165.0,0.0,8030.0,2011.26,6018.74,CA,False,none
PE-EMP-00002-02,EMP-00002,2025-01-31,2025-03-01,159.3,0.0,8030.0,1950.86,6079.14,CA,False,none
PE-EMP-00002-03,EMP-00002,2025-03-02,2025-03-31,150.0,0.0,8030.0,1803.41,6226.59,CA,False,none
PE-EMP-00002-04,EMP-00002,2025-04-01,2025-04-30,145.5,0.0,8030.0,1712.26,6317.74,CA,False,none
PE-EMP-00002-05,EMP-00002,2025-05-01,2025-05-30,162.7,0.0,8030.0,2054.4,5975.6,CA,False,none
PE-EMP-00002-06,EMP-00002,2025-05-31,2025-06-29,165.8,0.0,8030.0,1508.47,6521.53,CA,False,none
PE-EMP-00003-01,EMP-00003,2025-01-01,2025-01-30,142.6,11.5,7456.78,1765.61,5691.17,FL,False,none
PE-EMP-00003-02,EMP-00003,2025-01-31,2025-03-01,142.7,12.0,7492.69,1872.12,5620.57,FL,False,none
PE-EMP-00003-03,EMP-00003,2025-03-02,2025-03-31,161.5,4.7,7026.89,1717.67,5309.22,FL,False,none
PE-EMP-00003-04,EMP-00003,2025-04-01,2025-04-30,144.0,7.1,7178.53,1972.26,5206.27,FL,False,none
PE-EMP-00003-05,EMP-00003,2025-05-01,2025-05-30,150.2,13.4,7581.07,1560.22,6020.85,FL,False,none
PE-EMP-00003-06,EMP-00003,2025-05-31,2025-06-29,149.2,2.8,6906.6,1876.71,5029.89,FL,False,none
PE-EMP-00004-01,EMP-00004,2025-01-01,2025-01-30,153.7,12.9,5076.11,1078.55,3997.56,WA,False,none
PE-EMP-00004-02,EMP-00004,2025-01-31,2025-03-01,153.4,1.0,4569.62,874.12,3695.5,WA,False,none
PE-EMP-00004-03,EMP-00004,2025-03-02,2025-03-31,149.8,12.7,5066.54,1054.98,4011.56,WA,False,none
PE-EMP-00004-04,EMP-00004,2025-04-01,2025-04-30,151.4,8.6,4893.93,1129.49,3764.44,WA,False,none
PE-EMP-00004-05,EMP-00004,2025-05-01,2025-05-30,155.6,10.7,4982.81,950.21,4032.6,WA,False,none
PE-EMP-00004-06,EMP-00004,2025-05-31,2025-06-29,152.9,1.1,4573.16,961.33,3611.83,WA,False,none
PE-EMP-00005-01,EMP-00005,2025-01-01,2025-01-30,146.8,8.9,6670.47,1359.83,5310.64,WA,False,none
PE-EMP-00005-02,EMP-00005,2025-01-31,2025-03-01,141.8,2.4,6296.73,1437.15,4859.58,WA,False,none
PE-EMP-00005-03,EMP-00005,2025-03-02,2025-03-31,152.1,3.1,6339.36,1581.07,4758.29,WA,False,none
PE-EMP-00005-04,EMP-00005,2025-04-01,2025-04-30,149.6,14.7,7007.96,1658.93,5349.03,WA,False,none
PE-EMP-00005-05,EMP-00005,2025-05-01,2025-05-30,158.7,10.4,6760.2,1333.85,5426.35,WA,False,none
PE-EMP-00005-06,EMP-00005,2025-05-31,2025-06-29,163.4,11.1,6799.37,1707.94,5091.43,WA,False,none
PE-EMP-00006-01,EMP-00006,2025-01-01,2025-01-30,156.7,0.0,6799.0,1301.55,5497.45,UK_national,False,none
PE-EMP-00006-02,EMP-00006,2025-01-31,2025-03-01,142.7,0.0,6799.0,1445.04,5353.96,UK_national,True,ghost_employee
PE-EMP-00006-03,EMP-00006,2025-03-02,2025-03-31,148.6,0.0,6799.0,1526.52,5272.48,UK_national,False,none
PE-EMP-00006-04,EMP-00006,2025-04-01,2025-04-30,156.8,0.0,6799.0,1499.72,5299.28,UK_national,False,none
PE-EMP-00006-05,EMP-00006,2025-05-01,2025-05-30,156.7,0.0,6799.0,1689.9,5109.1,UK_national,False,none
PE-EMP-00006-06,EMP-00006,2025-05-31,2025-06-29,149.2,0.0,6799.0,1781.25,5017.75,UK_national,False,none
PE-EMP-00007-01,EMP-00007,2025-01-01,2025-01-30,141.7,0.0,7249.0,1772.37,5476.63,DE_national,False,none
PE-EMP-00007-02,EMP-00007,2025-01-31,2025-03-01,143.9,0.0,7249.0,1462.57,5786.43,DE_national,False,none
PE-EMP-00007-03,EMP-00007,2025-03-02,2025-03-31,161.1,0.0,7249.0,1725.82,5523.18,DE_national,False,none
PE-EMP-00007-04,EMP-00007,2025-04-01,2025-04-30,161.2,0.0,7249.0,1891.87,5357.13,DE_national,False,none
PE-EMP-00007-05,EMP-00007,2025-05-01,2025-05-30,152.7,0.0,7249.0,1783.89,5465.11,DE_national,False,none
PE-EMP-00007-06,EMP-00007,2025-05-31,2025-06-29,157.2,0.0,7249.0,1516.13,5732.87,DE_national,False,none
PE-EMP-00008-01,EMP-00008,2025-01-01,2025-01-30,164.6,6.7,4560.83,914.75,3646.08,federal,False,none
PE-EMP-00008-02,EMP-00008,2025-01-31,2025-03-01,159.0,4.5,4471.87,1160.16,3311.71,federal,False,none
PE-EMP-00008-03,EMP-00008,2025-03-02,2025-03-31,160.1,13.8,4845.24,1325.99,3519.25,federal,False,none
PE-EMP-00008-04,EMP-00008,2025-04-01,2025-04-30,156.3,13.7,4843.2,1351.39,3491.81,federal,False,none
PE-EMP-00008-05,EMP-00008,2025-05-01,2025-05-30,163.7,9.2,4659.99,1076.66,3583.33,federal,False,none
PE-EMP-00008-06,EMP-00008,2025-05-31,2025-06-29,165.2,12.8,4805.42,894.97,3910.45,federal,False,none
PE-EMP-00009-01,EMP-00009,2025-01-01,2025-01-30,140.0,0.0,8081.0,2236.74,5844.26,WA,False,none
PE-EMP-00009-02,EMP-00009,2025-01-31,2025-03-01,167.4,0.0,8081.0,1907.14,6173.86,WA,False,none
PE-EMP-00009-03,EMP-00009,2025-03-02,2025-03-31,147.9,0.0,8081.0,1543.23,6537.77,WA,False,none
PE-EMP-00009-04,EMP-00009,2025-04-01,2025-04-30,152.1,0.0,8081.0,1479.78,6601.22,WA,False,none
PE-EMP-00009-05,EMP-00009,2025-05-01,2025-05-30,157.5,0.0,8081.0,1931.49,6149.51,WA,False,none
PE-EMP-00009-06,EMP-00009,2025-05-31,2025-06-29,151.4,0.0,8081.0,2029.76,6051.24,WA,False,none
PE-EMP-00010-01,EMP-00010,2025-01-01,2025-01-30,145.9,0.0,8650.0,1933.44,6716.56,DE_national,False,none
PE-EMP-00010-02,EMP-00010,2025-01-31,2025-03-01,143.9,0.0,8650.0,1707.0,6943.0,DE_national,False,none
PE-EMP-00010-03,EMP-00010,2025-03-02,2025-03-31,163.6,0.0,11715.79,2037.44,6612.56,DE_national,True,rate_violation
PE-EMP-00010-04,EMP-00010,2025-04-01,2025-04-30,151.7,0.0,8650.0,1868.65,6781.35,DE_national,False,none
PE-EMP-00010-05,EMP-00010,2025-05-01,2025-05-30,164.4,0.0,8650.0,1806.53,6843.47,DE_national,False,none
PE-EMP-00010-06,EMP-00010,2025-05-31,2025-06-29,140.3,0.0,8650.0,1665.6,6984.4,DE_national,False,none
PE-EMP-00011-01,EMP-00011,2025-01-01,2025-01-30,164.8,9.7,7295.63,1418.27,5877.36,FL,False,none
PE-EMP-00011-02,EMP-00011,2025-01-31,2025-03-01,143.8,9.9,7304.6,2027.01,5277.59,FL,False,none
PE-EMP-00011-03,EMP-00011,2025-03-02,2025-03-31,164.1,2.1,6815.02,1775.95,5039.07,FL,False,none
PE-EMP-00011-04,EMP-00011,2025-04-01,2025-04-30,166.0,13.4,7526.16,1878.07,5648.09,FL,False,none
PE-EMP-00011-05,EMP-00011,2025-05-01,2025-05-30,151.9,9.3,7271.99,1639.39,5632.6,FL,False,none
PE-EMP-00011-06,EMP-00011,2025-05-31,2025-06-29,146.3,12.3,7457.05,1629.15,5827.9,FL,False,none
PE-EMP-00012-01,EMP-00012,2025-01-01,2025-01-30,140.2,0.0,8473.0,1885.05,6587.95,TX,False,none
PE-EMP-00012-02,EMP-00012,2025-01-31,2025-03-01,160.5,0.0,8473.0,1947.23,6525.77,TX,False,none
PE-EMP-00012-03,EMP-00012,2025-03-02,2025-03-31,147.5,0.0,8473.0,2128.53,6344.47,TX,False,none
PE-EMP-00012-04,EMP-00012,2025-04-01,2025-04-30,156.1,0.0,8473.0,2310.22,6162.78,TX,False,none
PE-EMP-00012-05,EMP-00012,2025-05-01,2025-05-30,141.1,0.0,8473.0,1553.49,6919.51,TX,False,none
