experiment,metric,value
compliance,KG_accuracy,0.9563
compliance,SQL_accuracy,0.9525
compliance,KG_F1,0.385
compliance,SQL_F1,0.0
compliance,KG_latency_ms,0.3
compliance,SQL_latency_ms,0.2
anomaly,overall_F1,0.9594
anomaly,precision,1.0
anomaly,recall,0.9219
anomaly,baseline_isoforest,0.3298
anomaly,ghost_F1,0.9993
anomaly,duplicate_F1,0.5794
anomaly,rate_violation_F1,1.0
anomaly,rule_override_F1,1.0
qa,KG_hallucination,0.085
qa,RAG_hallucination,0.181
qa,LLM_hallucination,0.355
qa,KG_accuracy,0.915
